N,종목명,현재가,전일비,등락률,액면가,매출액,자산총계,영업이익
281.0,코오롱인더,27550.0,상승  650,+2.42%,5000.0,50612.0,60027.0,1576.0
282.0,KG모빌리티,3840.0,상승  130,+3.50%,5000.0,37364.0,26354.0,125.0
283.0,덴티움,68000.0,"상승  1,600",+2.41%,500.0,3932.0,7738.0,1383.0
284.0,TIGER 단기통안채,109235.0,보합0,0.00%,0.0,,,
285.0,ACE 종합채권(AA-이상)KIS액티브,106710.0,상승  390,+0.37%,0.0,,,
286.0,N2 KIS CD금리투자 ETN,53280.0,보합0,0.00%,0.0,,,
287.0,미원에스씨,148900.0,하락  500,-0.33%,500.0,4377.0,4612.0,225.0
288.0,동양생명,4610.0,상승  185,+4.18%,5000.0,32508.0,328694.0,3343.0
289.0,세아제강지주,178000.0,상승  900,+0.51%,5000.0,39133.0,43408.0,5909.0
290.0,HDC,12260.0,상승  170,+1.41%,5000.0,59083.0,116209.0,3126.0
291.0,TIGER 인도니프티50,13950.0,상승  130,+0.94%,0.0,,,
292.0,SK디스커버리,38750.0,상승  400,+1.04%,5000.0,89392.0,122507.0,2567.0
293.0,LG전자우,41900.0,"상승  1,200",+2.95%,5000.0,,,
294.0,KODEX Top5PlusTR,20885.0,상승  520,+2.55%,0.0,,,
295.0,GKL,11550.0,상승  220,+1.94%,500.0,3967.0,6394.0,510.0
296.0,TKG휴켐스,17460.0,상승  280,+1.63%,1000.0,10527.0,10997.0,1212.0
297.0,NICE평가정보,11980.0,하락  20,-0.17%,500.0,4857.0,4937.0,653.0
298.0,영풍,384500.0,"상승  1,500",+0.39%,5000.0,37617.0,55681.0,-1698.0
299.0,태영건설,2440.0,상승  10,+0.41%,500.0,33529.0,46405.0,-4045.0
